soil_sp,decay_cat,sterilization,plant_sp,pot_id,pair_id,block_id,color_Y,color_S,color_B,thrip,gall,below_twisted_root,above_morph,above_mass,below_mass,rosetting,apical_wilt
E,longd,live,E,239,f,I,0,0,1,0,1,0,CO,222.59,37.09,0,0
E,longd,live,E,240,i,I,0,0,1,0,1,0,C,229.85,54.16,0,0
bg,NA,NA,M,241,NA,F,1,0,1,0,0,1,O,474.69,147.77,0,0
bg,NA,NA,M,242,NA,F,0,1,0,1,0,1,C,525.78,357.48,0,0
bg,NA,NA,M,243,NA,F,0,1,0,1,0,1,O,403.46,166.04,0,0
bg,NA,NA,M,244,NA,F,0,1,0,1,0,1,O,509.67,162.09,0,0
bg,NA,NA,M,245,NA,F,1,0,1,1,0,1,O,219.74,127.96,0,0
bg,NA,NA,E,246,NA,F,0,0,1,0,1,1,C,219.81,74.43,0,0
bg,NA,NA,E,247,NA,F,0,0,1,0,1,1,CO,645.36,184.06,0,0
bg,NA,NA,E,248,NA,F,0,0,1,0,1,0,C,226.6,31.72,0,0
bg,NA,NA,E,249,NA,F,0,0,1,0,1,0,CO,441.24,80.54,0,0
bg,NA,NA,E,250,NA,F,0,0,0,0,1,0,CO,718.89,178.1,1,0
